id,userId,productId,variantId,productName,sku,unitPrice,quantity,totalPrice,inStock
6d66bce7-3fac-49be-b946-819eb8edb5f4,9e1833fb-4391-471f-a23b-c4484fa33848,bfab9943-f6bf-41b6-abe3-cf355418410b,,iPad Mini Deluxe,TAB-1518,169.43,3,508.29,True
7879b83d-6ea4-45a4-a23e-6650daf8705b,9e1833fb-4391-471f-a23b-c4484fa33848,88aead94-42f6-4f0b-b998-bd1dd02907ca,,Polo Shirt Deluxe,MEN-8143,194.27,1,194.27,False
ecfb601e-5849-4bbe-bcda-7437b83e4dbf,9e1833fb-4391-471f-a23b-c4484fa33848,b51b0220-1ab3-4a75-8f3b-963a9f529af8,,Play Dress Plus,KID-2975,242.31,1,242.31,True
b61be612-b892-4786-a470-8364735ca4f1,9e1833fb-4391-471f-a23b-c4484fa33848,5ca04615-5a96-49ee-8f26-bb1ea11854f7,,Hoodie Plus,MEN-9301,86.37,2,172.74,True
1b86142c-5fde-4046-80cc-2b550a86baae,5427be0f-aa51-43f4-8ad1-2ce067fcb727,f013dc6e-c11b-46dd-9e14-2641ead86304,,AirPods Pro Basic,AUD-7038,218.53,1,218.53,True
aa5ef3a4-d248-4a8d-a04d-0787617bba9c,5427be0f-aa51-43f4-8ad1-2ce067fcb727,93cd6aef-ebe1-4daf-9e22-3ee12618adc3,,Security Camera Standard,SMA-4327,131.45,2,262.9,False
3077f70c-ce73-4997-bde6-9dff80df291e,d0e4db7f-8791-480e-ac0b-aefc5846adcd,563b480a-d429-4b59-b453-656b2cacb7ff,,Echo Dot Elite,SMA-2995,169.1,3,507.29999999999995,True
bedde335-7df3-4b69-b4e7-3d32c1c211c9,d0e4db7f-8791-480e-ac0b-aefc5846adcd,f4cec095-697c-4fe9-b067-0e5a0c3b7b9d,,ASUS ZenBook Plus,LAP-7440,1291.94,2,2583.88,True
80e0ca9f-3d53-41d5-aeaa-d720c4696d6f,d0e4db7f-8791-480e-ac0b-aefc5846adcd,8382c2df-10df-4f94-9c49-cc15004b8f1b,,Button-up Deluxe,MEN-5478,242.33,2,484.66,False
e58886d7-c65b-4e2f-8f83-4144fd4ba131,d0e4db7f-8791-480e-ac0b-aefc5846adcd,1abaca49-17dd-435e-841f-28f0c4b9523e,,Laptop Bag Basic,BAG-3932,162.38,2,324.76,True
13cce21d-e7c8-455b-8188-205309270de8,d0e4db7f-8791-480e-ac0b-aefc5846adcd,90a91fdc-1e8a-4319-b28c-e96136230fd1,,Kids T-Shirt Pro,KID-9366,37.39,3,112.17,True
430e52a8-9acc-4f81-adea-c1479ff87c03,d0e4db7f-8791-480e-ac0b-aefc5846adcd,57734fa6-e8d7-461e-9857-b3dd8290766f,,iPad Air Deluxe,TAB-8649,516.45,1,516.45,True
ae5e29c7-3c5c-4e5f-8d44-270d7083e04f,d0e4db7f-8791-480e-ac0b-aefc5846adcd,078cb6b1-48fb-4d04-8198-02b2a4ba479e,d220cfdf-5a3d-4077-a777-71b3d3312a9a,Scarf Basic,ACC-7435-RXXL,176.5,2,353.0,True
50a46776-324e-45c4-8530-d2df4a8ddb43,b3ab866a-8102-4c31-87b7-26b28297149c,11fa87c3-e1aa-42f6-84a8-5b7d176337cd,,ASUS ZenBook Elite,LAP-4804,1090.36,2,2180.72,True
e8d2ae70-89b3-4e06-8036-50dc6fda1f43,b3ab866a-8102-4c31-87b7-26b28297149c,40efc5a3-ac3e-4ea7-aaac-b6fa376b2a40,,Gaming Chair,GAM-9804,2028.07,3,6084.21,True
6d2e5196-31d7-4abb-b7d8-3f36e8cc5792,b3ab866a-8102-4c31-87b7-26b28297149c,3b5cfd48-389a-4640-9714-2a6008bdb590,,ASUS ZenBook Premium,LAP-7783,1069.22,2,2138.44,True
be9d9281-57aa-4082-a982-b798413ca030,b3ab866a-8102-4c31-87b7-26b28297149c,9f455ebf-fe8b-4b9d-ba65-01f12f2a7ce0,,GPS Watch Pro,WEA-2953,190.21,1,190.21,True
4b5ab138-70df-4602-a1aa-08f7648b7015,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,5b0642ff-710e-4889-b254-4170d2ecb9c6,,Action Camera Plus,CAM-7109,880.36,1,880.36,False
ae6abddf-30c8-41b8-a42d-b302813ef7d7,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,f715ef9b-5f5d-4433-9633-798abb23c19a,,Lenovo Tab Pro,TAB-5949,420.64,1,420.64,True
99344ae3-506e-4c4a-b0b6-0cd092cddce9,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,0d0eabe6-da39-4d9b-b6ce-b09ebd687175,,Running Shoes Standard,SHO-5644,167.43,2,334.86,True
901cf7b2-6982-4486-a93e-ba8813d8e342,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,509358c1-7c84-46f1-a2c6-a5c6730f112a,,Huawei P Series Elite,SMA-7837,636.04,1,636.04,True
2c167653-7183-43b6-8530-159ef424ffe1,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,7c4ec45f-4cb9-4ddd-b238-167d58d0d224,,JBL Free Premium,AUD-4898,304.09,1,304.09,True
13450c4e-cde6-4854-acc7-1d88921e285f,b1270b50-ad7b-4ed6-9a75-e5d6e255f36f,52cf3832-cc29-4a5d-9b48-f5b1480af5c9,,Travel Suitcase,BAG-5906,237.1,3,711.3,True
