id,orderId,productId,variantId,productName,productDescription,variantName,variantAttributes,sku,price,quantity,imageUrl,subtotal
99fa9f1a-be4c-4dde-9436-2e80df590f62,d6654a24-680c-4155-9615-c8927ad4c58b,06b549eb-40af-4891-b48d-1096e2719b39,,Belt Premium,High-quality belt premium with excellent features and premium build quality. Perfect for accessories...,,{},ACC-8887,100.02,1,https://images.example.com/products/ACC-8887_1.jpg,100.02
38ea7e3e-3184-4c7e-8de9-30f93de422ad,d6654a24-680c-4155-9615-c8927ad4c58b,e9e4e2ac-3a85-4a76-a4ea-78dafdf844ee,,Scarf Plus,High-quality scarf plus with excellent features and premium build quality. Perfect for accessories e...,,{},ACC-3415,128.59,1,https://images.example.com/products/ACC-3415_1.jpg,128.59
75607289-c22a-4f6e-a087-f1c60ef195e9,5702c1a4-dfd8-443b-b9a6-a3e6d9616f39,6ff61f59-27f5-4f16-8734-10b89e336409,,iPad Mini Premium,High-quality ipad mini premium with excellent features and premium build quality. Perfect for tablet...,,{},TAB-6606,238.46,3,https://images.example.com/products/TAB-6606_1.jpg,715.38
ca8a2d60-9e92-45db-a68f-f31154459489,5702c1a4-dfd8-443b-b9a6-a3e6d9616f39,e64d0e13-600a-41fb-8ba3-3900e982b99e,,Summer Dress Plus,High-quality summer dress plus with excellent features and premium build quality. Perfect for women'...,,{},WOM-3025,69.07,4,https://images.example.com/products/WOM-3025_1.jpg,276.28
ffcf053d-d794-4970-a17b-548dd86f71a1,5702c1a4-dfd8-443b-b9a6-a3e6d9616f39,bfab9943-f6bf-41b6-abe3-cf355418410b,,iPad Mini Deluxe,High-quality ipad mini deluxe with excellent features and premium build quality. Perfect for tablets...,,{},TAB-1518,169.43,4,https://images.example.com/products/TAB-1518_1.jpg,677.72
dbb3e971-e9eb-4769-99cf-275e56fb55b7,5702c1a4-dfd8-443b-b9a6-a3e6d9616f39,3d87c73c-2648-4298-a151-d082a53aaf4f,,Summer Dress Pro,High-quality summer dress pro with excellent features and premium build quality. Perfect for women's...,,{},WOM-8540,149.15,4,https://images.example.com/products/WOM-8540_1.jpg,596.6
0f3d7fd7-4185-4d31-90f4-9f57df8a26d9,588f4bb1-22ca-407c-be51-c854b17d4527,3810feac-292b-4968-96a8-905a8965e4b0,,Sneakers Pro,High-quality sneakers pro with excellent features and premium build quality. Perfect for shoes enthu...,,{},SHO-6371,54.65,1,https://images.example.com/products/SHO-6371_1.jpg,54.65
26a57308-faf6-414c-a5ac-dc86fbd280dc,588f4bb1-22ca-407c-be51-c854b17d4527,c6358634-ea53-4d52-b585-39607e6c0f46,,Hat Plus,High-quality hat plus with excellent features and premium build quality. Perfect for accessories ent...,,{},ACC-5990,100.27,4,https://images.example.com/products/ACC-5990_1.jpg,401.08
6c504458-47d2-4964-a40c-131937a70779,588f4bb1-22ca-407c-be51-c854b17d4527,a1ad591c-e6ed-4c9c-9454-432914a14597,,Handbag Standard,High-quality handbag standard with excellent features and premium build quality. Perfect for bags & ...,,{},BAG-8474,244.74,2,https://images.example.com/products/BAG-8474_1.jpg,489.48
a4d8988e-b8b6-4b27-86bd-306ae5433fe1,588f4bb1-22ca-407c-be51-c854b17d4527,9a190be6-d118-4bb7-9667-f52bba6bcda2,,Skinny Jeans Plus,High-quality skinny jeans plus with excellent features and premium build quality. Perfect for women'...,,{},WOM-2468,135.54,3,https://images.example.com/products/WOM-2468_1.jpg,406.62
dffb6b77-99ed-4b2e-b3a1-4e69357cc4fe,588f4bb1-22ca-407c-be51-c854b17d4527,b10c01dd-2315-4944-8b5d-0855d54b90c2,,Alienware Gaming Standard,High-quality alienware gaming standard with excellent features and premium build quality. Perfect fo...,,{},LAP-8558,947.71,3,https://images.example.com/products/LAP-8558_1.jpg,2843.13
f1b16fbb-6e7e-4eee-b75a-bf033d804112,588f4bb1-22ca-407c-be51-c854b17d4527,1abaca49-17dd-435e-841f-28f0c4b9523e,,Laptop Bag Basic,High-quality laptop bag basic with excellent features and premium build quality. Perfect for bags & ...,,{},BAG-3932,162.38,2,https://images.example.com/products/BAG-3932_1.jpg,324.76
b20ae7b7-533b-451b-a239-59f47e91b7d5,871b5d44-4cc2-400b-9ecc-51d22c891f94,a02044a3-ad8d-49c2-8c9b-ffb673646b40,,Photo Printer Plus,High-quality photo printer plus with excellent features and premium build quality. Perfect for camer...,,{},CAM-3641,132.91,3,https://images.example.com/products/CAM-3641_1.jpg,398.73
a14ee60b-8c34-4148-8e30-c785a7f21997,871b5d44-4cc2-400b-9ecc-51d22c891f94,5036a415-8d9e-4773-a44c-951eb09e8bab,,Smart Thermostat Pro,High-quality smart thermostat pro with excellent features and premium build quality. Perfect for sma...,,{},SMA-2978,706.03,1,https://images.example.com/products/SMA-2978_1.jpg,706.03
f2f7a99e-cdf4-476a-bc11-a531806d9b63,871b5d44-4cc2-400b-9ecc-51d22c891f94,5ca04615-5a96-49ee-8f26-bb1ea11854f7,,Hoodie Plus,High-quality hoodie plus with excellent features and premium build quality. Perfect for men's clothi...,,{},MEN-9301,86.37,1,https://images.example.com/products/MEN-9301_1.jpg,86.37
7f19e166-65de-49c6-b586-1e8b7d6a4cee,871b5d44-4cc2-400b-9ecc-51d22c891f94,7a918392-a726-4177-9c37-49ead1a96498,,Jewelry Standard,High-quality jewelry standard with excellent features and premium build quality. Perfect for accesso...,,{},ACC-4143,198.54,2,https://images.example.com/products/ACC-4143_1.jpg,397.08
